geonameid,asciiname,latitude,longitude,country_code,population,timezone
95788,Hit,33.63664,42.82768,IQ,31901,Asia/Baghdad
96205,Halabjah,35.17778,45.98611,IQ,57333,Asia/Baghdad
96309,Hadithah,34.13661,42.37727,IQ,30925,Asia/Baghdad
96994,Dihok,36.86709,42.98845,IQ,284000,Asia/Baghdad
97417,Jamjamal,35.53356,44.8343,IQ,75634,Asia/Baghdad
97783,Bayji,34.92915,43.48878,IQ,36454,Asia/Baghdad
97990,Baqubah,33.75403,44.60518,IQ,152550,Asia/Baghdad
98012,Baynjiwayn,35.62329,45.94714,IQ,27116,Asia/Baghdad
98112,Balad,34.01485,44.14574,IQ,42088,Asia/Baghdad
98182,Baghdad,33.34058,44.40088,IQ,7216000,Asia/Baghdad
98245,Az Zubayr,30.39213,47.70175,IQ,122676,Asia/Baghdad
98459,As Suwayrah,32.92556,44.77583,IQ,42354,Asia/Baghdad
98463,As Sulaymaniyah,35.56496,45.4329,IQ,723170,Asia/Baghdad
98530,As Samawah,31.33198,45.2944,IQ,152890,Asia/Baghdad
98589,Nahiyat ash Shinafiyah,31.58376,44.64675,IQ,22643,Asia/Baghdad
98622,Ash Shatrah,31.40906,46.1727,IQ,82732,Asia/Baghdad
98629,Ash Shamiyah,31.96257,44.60075,IQ,57661,Asia/Baghdad
98677,Ar Rutbah,33.03718,40.28586,IQ,22370,Asia/Baghdad
98685,Ar Rumaythah,31.52845,45.20377,IQ,47248,Asia/Baghdad
98717,Ramadi,33.42056,43.30778,IQ,274539,Asia/Baghdad
98822,'Aqrah,36.73322,43.87964,IQ,23000,Asia/Baghdad
98854,An Nasiriyah,31.05799,46.25726,IQ,400249,Asia/Baghdad
98860,Najaf,32.02594,44.34625,IQ,482576,Asia/Baghdad
98885,'Anat al Qadimah,34.46934,41.94223,IQ,19719,Asia/Baghdad
99010,Imam Qasim,32.29799,44.68282,IQ,36992,Asia/Baghdad
99039,Al Musayyib,32.77872,44.29005,IQ,42901,Asia/Baghdad
99060,Al Mishkhab,31.80437,44.4893,IQ,23189,Asia/Baghdad
99062,Al Miqdadiyah,33.97861,44.93694,IQ,50698,Asia/Baghdad
99071,Al Mawsil al Jadidah,36.33271,43.10555,IQ,2065597,Asia/Baghdad
99072,Mosul,36.335,43.11889,IQ,1739800,Asia/Baghdad
99131,Al Kut,32.5128,45.81817,IQ,315162,Asia/Baghdad
99135,Kufa,32.05114,44.44017,IQ,110000,Asia/Baghdad
99169,Khalis,33.80809,44.53343,IQ,70046,Asia/Baghdad
99306,'Ali al Gharbi,32.46186,46.68794,IQ,19711,Asia/Baghdad
99344,Al Hindiyah,32.54671,44.22765,IQ,57490,Asia/Baghdad
99347,Al Hillah,32.46367,44.41963,IQ,289709,Asia/Baghdad
99350,Al Hayy,32.17419,46.04345,IQ,78272,Asia/Baghdad
99369,Al Harithah,30.58481,47.76114,IQ,92395,Asia/Baghdad
99434,Nahiyat Ghammas,31.74311,44.6196,IQ,30909,Asia/Baghdad
99439,Nahiyat al Fuhud,30.96972,46.72278,IQ,21551,Asia/Baghdad
99446,Al Faw,29.97421,48.47309,IQ,104569,Asia/Baghdad
99454,Al Fallujah,33.34913,43.78599,IQ,190159,Asia/Baghdad
99532,Basrah,30.50852,47.7804,IQ,2600000,Asia/Baghdad
99548,Al 'Aziziyah,32.90941,45.06359,IQ,44751,Asia/Baghdad
99608,Al 'Amarah,31.83561,47.14483,IQ,323302,Asia/Baghdad
99738,'Afak,32.0643,45.24743,IQ,21888,Asia/Baghdad
99759,Ad Dujayl,33.84667,44.23444,IQ,26362,Asia/Baghdad
99762,Ad Diwaniyah,31.99289,44.92552,IQ,318801,Asia/Baghdad
100077,Abu Ghurayb,33.30563,44.18477,IQ,900000,Asia/Baghdad
100425,Yanbu,24.08912,38.06374,SA,200161,Asia/Riyadh
100926,Umm Lajj,25.02126,37.2685,SA,33874,Asia/Riyadh
101035,Umm as Sahik,26.65361,49.91639,SA,11813,Asia/Riyadh
101312,Turayf,31.67252,38.66374,SA,40819,Asia/Riyadh
101322,Turabah,21.21406,41.6331,SA,23235,Asia/Riyadh
101344,At Tubi,26.55778,49.99167,SA,7740,Asia/Riyadh
101554,Tarut,26.57332,50.03694,SA,85371,Asia/Riyadh
101581,Tanumah,27.1,44.13333,SA,13594,Asia/Riyadh
101628,Tabuk,28.3998,36.57151,SA,455450,Asia/Riyadh
101631,Tubarjal,30.49987,38.21603,SA,40019,Asia/Riyadh
101633,Tabalah,19.95,42.4,SA,5151,Asia/Riyadh
101760,Sultanah,24.49258,39.58572,SA,946697,Asia/Riyadh
102318,Sayhat,26.48522,50.04046,SA,66702,Asia/Riyadh
102451,Samitah,16.59601,42.94435,SA,26945,Asia/Riyadh
102527,Sakakah,29.96974,40.20641,SA,128332,Asia/Riyadh
102585,Safwa,26.64986,49.95223,SA,45876,Asia/Riyadh
102651,Sabya,17.1495,42.62537,SA,54108,Asia/Riyadh
102985,Rahimah,26.70791,50.06194,SA,41188,Asia/Riyadh
103035,Rabigh,22.79856,39.03493,SA,41759,Asia/Riyadh
103369,Qal`at Bishah,20.00054,42.6052,SA,81828,Asia/Riyadh
103630,Najran,17.49326,44.12766,SA,258573,Asia/Riyadh
103922,Mulayjah,27.27103,48.42419,SA,5247,Asia/Riyadh
104269,Misliyah,17.45988,42.5572,SA,6117,Asia/Riyadh
104376,Marat,25.07007,45.46147,SA,8885,Asia/Riyadh
104515,Mecca,21.42664,39.82563,SA,1323624,Asia/Riyadh
105072,Khamis Mushait,18.3,42.73333,SA,387553,Asia/Riyadh
105252,Julayjilah,25.5,49.6,SA,5359,Asia/Riyadh
105299,Jizan,16.88917,42.55111,SA,105198,Asia/Riyadh
105343,Jeddah,21.54238,39.19797,SA,2867446,Asia/Riyadh
106281,Ha'il,27.52188,41.69073,SA,267005,Asia/Riyadh
106744,Farasan,16.70222,42.11833,SA,10527,Asia/Riyadh
106909,Duba,27.35134,35.69014,SA,22000,Asia/Riyadh
107304,Buraydah,26.32599,43.97497,SA,391336,Asia/Riyadh
107312,Abqaiq,25.9371,49.67761,SA,29474,Asia/Riyadh
107744,Badr Hunayn,23.78292,38.79047,SA,27257,Asia/Riyadh
107781,Az Zulfi,26.29945,44.81542,SA,53144,Asia/Riyadh
107797,Dhahran,26.28864,50.11396,SA,99540,Asia/Riyadh
107959,At Taraf,25.36276,49.72504,SA,21386,Asia/Riyadh
107968,Ta'if,21.27028,40.41583,SA,530848,Asia/Riyadh
108048,As Sulayyil,20.46067,45.57792,SA,24097,Asia/Riyadh
108121,Sajir,25.18251,44.59964,SA,11717,Asia/Riyadh
108142,As Saffaniyah,27.97083,48.73,SA,7014,Asia/Riyadh
108410,Riyadh,24.68773,46.72185,SA,4205961,Asia/Riyadh
108435,Ar Rass,25.86944,43.4973,SA,81728,Asia/Riyadh
108512,'Ar'ar,30.97531,41.03808,SA,148540,Asia/Riyadh
108617,An Nimas,19.14547,42.12009,SA,24153,Asia/Riyadh
108648,Qurayyat,31.33176,37.34282,SA,102903,Asia/Riyadh
108773,Al Wajh,26.24551,36.45249,SA,26636,Asia/Riyadh
108841,Al 'Ula,26.60853,37.92316,SA,32413,Asia/Riyadh
108890,Al Qurayn,25.48333,49.6,SA,12013,Asia/Riyadh
108918,Al Qaysumah,28.31117,46.12729,SA,20685,Asia/Riyadh
108927,Al Qatif,26.5208,50.02452,SA,98259,Asia/Riyadh
108957,Al Qarah,25.41667,49.66667,SA,9106,Asia/Riyadh
109008,Al Mutayrifi,25.47879,49.55763,SA,5962,Asia/Riyadh
109059,Al Munayzilah,25.38333,49.66667,SA,16296,Asia/Riyadh
109101,Al Mubarraz,25.41,49.58083,SA,290802,Asia/Riyadh
109118,Al Mindak,20.1588,41.28337,SA,9218,Asia/Riyadh
109131,Al Mithnab,25.86012,44.22228,SA,60870,Asia/Riyadh
109165,Al Markaz,25.4,49.73333,SA,6464,Asia/Riyadh
109223,Medina,24.46861,39.61417,SA,1300000,Asia/Riyadh
109323,Khobar,26.27944,50.20833,SA,165799,Asia/Riyadh
109380,Al Khafji,28.43905,48.49132,SA,54857,Asia/Riyadh
109417,Al Jumum,21.61694,39.69806,SA,22207,Asia/Riyadh
109435,Al Jubayl,27.01122,49.65825,SA,237274,Asia/Riyadh
109436,Al Jubayl,25.4,49.65,SA,9108,Asia/Riyadh
109481,Al Jaradiyah,16.57946,42.9124,SA,7396,Asia/Riyadh
109502,Al Jafr,25.37694,49.72361,SA,8715,Asia/Riyadh
109571,Al Hufuf,25.36457,49.56532,SA,293179,Asia/Riyadh
109878,Al Bukayriyah,26.14422,43.65933,SA,25153,Asia/Riyadh
109915,Al Battaliyah,25.43333,49.63333,SA,16606,Asia/Riyadh
109953,Al Bahah,20.01288,41.46767,SA,88419,Asia/Riyadh
110031,Al Artawiyah,26.50526,45.34437,SA,9152,Asia/Riyadh
110107,Al Awjam,26.56324,49.94331,SA,11460,Asia/Riyadh
110250,`Afif,23.9065,42.91724,SA,40648,Asia/Riyadh
110314,Ad Dilam,23.99104,47.16181,SA,35371,Asia/Riyadh
110325,Ad Dawadimi,24.50772,44.39237,SA,54474,Asia/Riyadh
110328,Ad Darb,17.72285,42.25261,SA,5378,Asia/Riyadh
110336,Dammam,26.43442,50.10326,SA,768602,Asia/Riyadh
110619,Abu `Arish,16.96887,42.83251,SA,49171,Asia/Riyadh
110690,Abha,18.21639,42.50528,SA,210886,Asia/Riyadh
110831,Azadshahr,37.08641,55.17222,IR,47590,Asia/Tehran
111058,Ziabar (Gaskar),37.4261,49.2459,IR,4500,Asia/Tehran
111421,Zarand,30.81271,56.56399,IR,58983,Asia/Tehran
111453,Zanjan,36.6736,48.4787,IR,357471,Asia/Tehran
111822,Yazd,31.89722,54.3675,IR,477905,Asia/Tehran
112025,Vasian,33.49083,48.04917,IR,1817,Asia/Tehran
112214,Varamin,35.3242,51.6457,IR,179603,Asia/Tehran
112646,Torbat-e Heydariyeh,35.27401,59.21949,IR,125633,Asia/Tehran
112656,Tonekabon,36.81626,50.87376,IR,37501,Asia/Tehran
112931,Tehran,35.69439,51.42151,IR,7153309,Asia/Tehran
113343,Hashtpar,37.79658,48.90521,IR,45305,Asia/Tehran
113363,Taleb abad,35.5013,51.53147,IR,4850,Asia/Tehran
113491,Takestan,36.0696,49.6959,IR,71499,Asia/Tehran
113508,Takab,36.4009,47.1133,IR,51541,Asia/Tehran
113632,Taft,31.74384,54.20278,IR,19394,Asia/Tehran
113636,Tafresh,34.69307,50.01601,IR,14399,Asia/Tehran
113646,Tabriz,38.08,46.2919,IR,1424641,Asia/Tehran
113659,Tabas,33.59586,56.92437,IR,49993,Asia/Tehran
114049,Sonqor,34.7837,47.6004,IR,43174,Asia/Tehran
114259,Sirjan,29.45137,55.6809,IR,207645,Asia/Tehran
114584,Shushtar,32.04972,48.84843,IR,77507,Asia/Tehran
114593,Shush,32.1942,48.2436,IR,52284,Asia/Tehran
114930,Shirvan,37.39669,57.92952,IR,82790,Asia/Tehran
115019,Shiraz,29.61031,52.53113,IR,1249942,Asia/Tehran
115388,Sharifabad,35.4275,51.78528,IR,8870,Asia/Tehran
115770,Shahr-e Kord,32.32556,50.86444,IR,129153,Asia/Tehran
115781,Shahr-e Babak,30.1165,55.1186,IR,52409,Asia/Tehran
116102,Shadegan,30.64972,48.66472,IR,37220,Asia/Tehran
116402,Semnan,35.57691,53.39205,IR,124826,Asia/Tehran
116406,Semirom,31.41667,51.56667,IR,27220,Asia/Tehran
116667,Saveh,35.0213,50.3566,IR,175533,Asia/Tehran
116996,Sari,36.56332,53.06009,IR,255396,Asia/Tehran
117392,Saqqez,36.24992,46.2735,IR,151237,Asia/Tehran
117574,Sanandaj,35.31495,46.99883,IR,349176,Asia/Tehran
117656,Salmas,38.1973,44.7653,IR,81606,Asia/Tehran
117793,Shahin Dezh,36.6793,46.5669,IR,41442,Asia/Tehran
118063,Sabzevar,36.2126,57.68191,IR,226183,Asia/Tehran
118191,Rudsar,37.13761,50.288,IR,47502,Asia/Tehran
118367,Robat Karim,35.4846,51.0829,IR,62753,Asia/Tehran
118704,Ravar,31.26562,56.80545,IR,40167,Asia/Tehran
118743,Rasht,37.27611,49.58862,IR,594590,Asia/Tehran
118805,Ramshir,30.8946,49.4092,IR,19454,Asia/Tehran
118826,Ramhormoz,31.27997,49.60351,IR,38821,Asia/Tehran
118994,Rafsanjan,30.4067,55.9939,IR,147680,Asia/Tehran
119115,Quchan,37.106,58.50955,IR,111752,Asia/Tehran
119161,Qorveh,35.1664,47.8045,IR,87953,Asia/Tehran
119208,Qom,34.6401,50.8764,IR,900000,Asia/Tehran
