geonameid,asciiname,latitude,longitude,country_code,population,timezone
159908,Geita,-2.86667,32.16667,TZ,40000,Africa/Dar_es_Salaam
159909,Geiro,-6.15,36.86667,TZ,37909,Africa/Dar_es_Salaam
159936,Gamba,-5.9,39.3,TZ,3644,Africa/Dar_es_Salaam
159951,Galappo,-4.26667,35.85,TZ,18528,Africa/Dar_es_Salaam
160073,Endasak,-4.41667,35.51667,TZ,14576,Africa/Dar_es_Salaam
160141,Dunda,-8.11667,34.25,TZ,14080,Africa/Dar_es_Salaam
160172,Dongobesh,-4.06667,35.38333,TZ,18864,Africa/Dar_es_Salaam
160196,Dodoma,-6.17221,35.73947,TZ,180541,Africa/Dar_es_Salaam
160263,Dar es Salaam,-6.82349,39.26951,TZ,2698652,Africa/Dar_es_Salaam
160266,Dareda,-4.21667,35.55,TZ,19876,Africa/Dar_es_Salaam
160464,Chimala,-8.85637,34.02393,TZ,24817,Africa/Dar_es_Salaam
160552,Chato,-2.63778,31.76694,TZ,27776,Africa/Dar_es_Salaam
160592,Chanika,-5.41667,38.01667,TZ,30905,Africa/Dar_es_Salaam
160660,Chalinze,-6.63784,38.35396,TZ,34335,Africa/Dar_es_Salaam
160670,Chala,-7.58333,31.26667,TZ,22624,Africa/Dar_es_Salaam
160677,Chake Chake,-5.24586,39.76659,TZ,21686,Africa/Dar_es_Salaam
160798,Butiama,-1.76667,33.96667,TZ,16376,Africa/Dar_es_Salaam
160833,Buseresere,-3.02361,31.87472,TZ,52870,Africa/Dar_es_Salaam
160877,Bungu,-7.63369,39.05818,TZ,27873,Africa/Dar_es_Salaam
160892,Bunda,-2.05,33.86667,TZ,50944,Africa/Dar_es_Salaam
160950,Bukonyo,-1.95,32.93333,TZ,4051,Africa/Dar_es_Salaam
160961,Bukoba,-1.33167,31.81222,TZ,70628,Africa/Dar_es_Salaam
160971,Bukene,-4.23333,32.88333,TZ,7444,Africa/Dar_es_Salaam
161022,Bugene,-1.59111,31.14028,TZ,10609,Africa/Dar_es_Salaam
161023,Bugarama,-2.87056,30.52806,TZ,32494,Africa/Dar_es_Salaam
161154,Biharamulo,-2.63194,31.30889,TZ,34038,Africa/Dar_es_Salaam
161197,Basotu,-4.36667,35.08333,TZ,20937,Africa/Dar_es_Salaam
161204,Bashanet,-4.23333,35.41667,TZ,19087,Africa/Dar_es_Salaam
161218,Bariadi,-2.8,33.98333,TZ,33865,Africa/Dar_es_Salaam
161290,Bagamoyo,-6.44222,38.90422,TZ,82426,Africa/Dar_es_Salaam
161312,Babati,-4.21667,35.75,TZ,34291,Africa/Dar_es_Salaam
161325,Arusha,-3.36667,36.68333,TZ,341136,Africa/Dar_es_Salaam
175499,Nchelenge,-9.34506,28.73396,ZM,23693,Africa/Lusaka
175555,Nakonde,-9.34213,32.745,ZM,10652,Africa/Lusaka
175961,Mpulungu,-8.76234,31.11405,ZM,8547,Africa/Lusaka
175967,Mporokoso,-9.37273,30.12501,ZM,3401,Africa/Lusaka
176146,Mbala,-8.84024,31.36587,ZM,20570,Africa/Lusaka
176555,Kawambwa,-9.7915,29.07913,ZM,20589,Africa/Lusaka
176758,Kaputa,-8.46887,29.66193,ZM,2683,Africa/Lusaka
178040,Yala,0.09906,34.53757,KE,2715,Africa/Nairobi
178073,Wundanyi,-3.40193,38.36402,KE,12501,Africa/Nairobi
178077,Wote,-1.78079,37.62882,KE,6133,Africa/Nairobi
178093,Witu,-2.38885,40.43821,KE,5380,Africa/Nairobi
178202,Webuye,0.60751,34.76966,KE,22507,Africa/Nairobi
178443,Wajir,1.7471,40.05732,KE,45771,Africa/Nairobi
178522,Voi,-3.39605,38.55609,KE,45483,Africa/Nairobi
179330,Thika,-1.03326,37.06933,KE,200000,Africa/Nairobi
179525,Taveta,-3.39879,37.68336,KE,13377,Africa/Nairobi
179634,Takaungu,-3.68367,39.85661,KE,10760,Africa/Nairobi
179888,Sotik,-0.68333,35.11871,KE,2600,Africa/Nairobi
180389,Shimoni,-4.64756,39.38175,KE,2374,Africa/Nairobi
180646,Sawa Sawa,-4.47166,39.48463,KE,12975,Africa/Nairobi
180868,Sagana,-0.66667,37.2,KE,3297,Africa/Nairobi
180992,Rumuruti,0.26699,36.53886,KE,4501,Africa/Nairobi
